Item,Arousal.Mean,Arousal.SD,Arousal.N,Arousal.Min,Arousal.Max,Arousal.Unknown,Concreteness.Mean,Concreteness.SD,Concreteness.N,Concreteness.Min,Concreteness.Max,Concreteness.Unknown,Embodiment.Mean,Embodiment.SD,Embodiment.N,Embodiment.Min,Embodiment.Max,Embodiment.Unknown,Imageability.Mean,Imageability.SD,Imageability.N,Imageability.Min,Imageability.Max,Imageability.Unknown,Valence.Mean,Valence.SD,Valence.N,Valence.Min,Valence.Max,Valence.Unknown
jeopardize,7.2,1.4,20,5,9,NA,1.87,0.97,23,1,4,NA,2.52,1.5,27,1,6,NA,2.38,1.35,24,1,4,NA,2.71,1.32,31,1,7,NA
jilt,6.36,2.16,11,1,9,9,3.21,1.42,14,1,5,12,5.14,1.35,14,2,7,12,4.47,1.77,15,1,7,10,3.8,2.11,15,1,7,12
jingling,5.69,1.58,16,2,8,1,4.04,1.17,25,1,5,NA,NA,NA,NA,NA,NA,NA,5.89,1.55,28,2,7,NA,6.34,1.95,29,1,9,NA
joggle,5.33,1.15,12,3,8,13,2.93,1.38,14,1,5,14,4.06,1.57,16,1,7,10,3.67,2.06,15,1,7,13,4.71,0.61,14,4,6,18
joining,5.25,1.51,24,1,7,NA,3.21,1.29,29,1,5,NA,4.19,1.66,27,1,7,NA,4.46,1.84,28,1,7,NA,6.13,1.07,30,4,9,NA
jostle,6.62,1.36,16,3,9,4,3.83,0.86,18,2,5,8,4.63,2.01,19,1,7,7,4.45,2.28,20,1,7,5,4.25,1.29,20,2,6,7
juggle,5.94,1.89,18,1,9,NA,4.61,0.74,28,3,5,NA,5.76,2.07,25,1,7,NA,6.59,0.95,29,3,7,NA,5.17,1.82,30,2,9,NA
justify,5.43,1.86,21,1,9,NA,1.87,1.06,23,1,4,NA,2.58,1.68,26,1,6,NA,2.8,1.98,25,1,7,NA,5.61,1.42,28,4,9,NA
juxtapose,4.6,1.84,15,1,7,2,1.9,1.04,21,1,4,4,NA,NA,NA,NA,NA,NA,2.54,1.9,26,1,7,2,4.96,1.14,25,2,8,4
kept,3.67,1.29,15,1,5,NA,3.08,1.41,25,1,5,NA,2.96,1.73,26,1,7,NA,3.58,1.82,31,1,7,NA,6,1.32,32,4,9,NA
keyed,6.07,1.44,14,3,8,4,3.91,0.97,22,2,5,3,3.09,1.88,46,1,7,3,4.71,1.96,28,1,7,2,3.52,1.5,27,1,6,7
kidding,6.38,1.88,21,3,9,NA,2.56,1.23,25,1,5,NA,3.44,1.89,27,1,7,NA,4.73,1.85,26,1,7,NA,6.97,1.57,29,3,9,NA
kidnap,7.81,1.17,21,5,9,NA,4.36,0.95,25,2,5,NA,5.81,1.64,27,1,7,NA,6.38,1.42,26,1,7,NA,1.62,1.47,29,1,6,NA
kindle,4.67,2.79,18,1,9,2,3.04,1.3,24,1,5,NA,3.16,2.03,25,1,7,NA,4.58,1.92,26,1,7,2,6.46,1.67,28,2,9,2
kissing,6.76,2.81,21,1,9,NA,5,0,28,5,5,NA,6.82,0.39,28,6,7,NA,6.97,0.18,32,6,7,NA,8,1.48,32,4,9,NA
knead,4.15,1.5,20,1,7,1,4.42,0.93,24,1,5,1,5.15,1.95,26,1,7,1,6.15,1.41,26,1,7,NA,5.96,1.37,27,4,9,2
kneeling,4.13,1.85,15,1,7,NA,4.78,0.52,23,3,5,NA,6.59,0.97,27,3,7,NA,6.52,1.16,27,2,7,NA,4.68,1.7,28,1,9,NA
knelt,3.88,1.71,16,1,7,NA,4.8,0.65,25,2,5,NA,6.75,0.85,24,3,7,NA,6.3,1.49,23,1,7,NA,4.79,0.92,28,1,6,NA
knew,5.2,1.52,15,1,8,NA,1.74,0.96,23,1,4,NA,3,2.26,26,1,7,1,3,1.92,27,1,6,NA,5.82,1.31,28,4,9,NA
knit,3.22,1.95,23,1,8,NA,4.54,0.86,26,2,5,NA,5.28,2.09,25,1,7,NA,6.48,0.85,23,4,7,1,6.35,1.25,31,5,9,NA
knitted,2.65,1.73,20,1,5,NA,4.39,0.79,28,2,5,NA,4.13,2.12,23,1,7,1,5.63,1.67,27,1,7,NA,5.7,1.44,27,3,9,NA
laced,5.53,1.42,17,3,9,1,3.12,1.33,25,1,5,1,3,2.02,23,1,7,NA,4.21,2.23,24,1,7,1,4.23,1.45,26,1,7,1
lacerate,6.75,2.12,20,2,9,1,4.08,1.08,25,1,5,4,5.46,1.47,24,2,7,4,5.79,1.86,24,1,7,4,2.86,1.73,29,1,7,4
lactate,5.78,1.83,18,3,9,2,4.25,1.07,24,1,5,2,6.46,0.83,24,4,7,2,6,1.35,24,2,7,1,4.72,1.28,25,2,7,2
lagged,4.44,1.62,18,2,7,1,2.48,1.19,27,1,5,1,2.43,1.56,23,1,6,2,3.86,1.9,29,1,7,2,3.53,1.52,32,1,6,1
lain,4.42,1.56,12,1,7,8,3.09,1.3,11,1,5,12,4.33,2.06,15,1,7,12,3.38,2.22,13,1,7,12,4.31,1.89,16,1,9,15
laminated,4.17,1.79,18,1,8,1,4.04,1.43,23,1,5,NA,2.44,2.03,27,1,7,NA,6,1.47,24,1,7,1,5.31,1.31,29,2,8,1
lampoon,6,1.26,6,5,8,12,3,1.15,10,1,4,16,2.43,1.62,7,1,5,14,3.6,1.71,10,1,6,15,4.45,1.29,11,1,5,19
landed,4.92,2.26,24,1,9,1,4.14,1.01,28,2,5,NA,3.58,2.37,26,1,7,NA,6,1.52,28,2,7,NA,6.44,1.68,32,3,9,NA
languish,6.33,2.15,12,4,9,9,1.94,0.77,16,1,4,13,3.88,2.03,16,1,7,12,3.58,1.95,19,1,7,13,3.89,1.94,18,1,7,14
languishing,5.11,3.02,9,1,9,7,2.29,1.07,14,1,4,11,3.23,1.96,13,1,7,11,3.27,2.31,15,1,7,8,4.4,1.88,15,1,7,13
